"CRICTICAL PATH for all.sln  |  Build Started: 2022-09-05 21:17:27  |  Processors: 1  |  Cores: 4  |  CPU Speed: 3.4GHz  |  Hyper Threading: Enabled  |  RAM: 32GB  |  HDD: 2 SSD"
"Summary Report:"
"Critical Path Order", "Project Name", "Build Time in [s] (Sorted Descending)", "Start Time [s]", "End Time [s]"
"8", "core.vcxproj", "106", "380", "487"
"9", "multimedia.vcxproj", "84", "757", "842"
"4", "aura.vcxproj", "81", "134", "216"
"2", "apex.vcxproj", "75", "42", "117"
"5", "axis.vcxproj", "69", "216", "285"
"10", "veriwell_multimedia.vcxproj", "68", "842", "911"
"12", "asciimedia.vcxproj", "46", "943", "989"
"6", "base.vcxproj", "45", "285", "331"
"1", "acme.vcxproj", "42", "0", "42"
"14", "musical_player.vcxproj", "41", "1029", "1071"
"13", "musical_player_lite.vcxproj", "40", "989", "1029"
"11", "veriwell.vcxproj", "31", "911", "943"
"15", "shared_app_veriwell_musical_player.vcxproj", "23", "1071", "1095"
"3", "aqua.vcxproj", "16", "117", "134"
"7", "bred.vcxproj", "14", "365", "380"
